date,rm_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6
1997-12-31,-0.16699997906075903,0.0,0.0,0.0,0.0,0.0,0.0
1998-03-31,0.45267564086041584,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-30,-0.14489403172493695,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-30,0.2708945176084274,0.0,0.0,0.0,0.0,0.0,0.0
1998-12-31,-1.2713770750075315,0.0,0.0,0.0,0.0,0.0,0.0
1999-03-31,0.19486518302099537,0.0,0.0,0.0,0.0,0.0,0.0
1999-06-30,-0.45410760661712807,0.0,0.0,0.0,0.0,0.0,0.0
1999-09-30,0.4062747289916344,0.0,0.0,0.0,0.0,0.0,0.0
1999-12-31,-0.3154431321899113,0.0,0.0,0.0,0.0,0.0,0.0
2000-03-31,-1.6099334536113148,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-30,1.0634698986220827,0.0,0.0,0.0,0.0,0.0,0.0
2000-09-30,0.10061514805773063,0.0,0.0,0.0,0.0,0.0,0.0
2000-12-31,0.11057963034127419,0.0,0.0,0.0,0.0,0.0,0.0
2001-03-31,-1.2405669415548004,0.0,0.0,0.0,0.0,0.0,0.0
2001-06-30,-0.26706448216866424,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-30,-0.033316206541069024,0.0,0.0,0.0,0.0,0.0,0.0
2001-12-31,-1.6092571334002606,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-31,0.6176396381008615,0.0,0.0,0.0,0.0,0.0,0.0
2002-06-30,-0.7069276113809427,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-30,-0.5064427310587986,0.0,0.0,0.0,0.0,0.0,0.0
2002-12-31,0.09952258343766378,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-31,-0.6145444038306092,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-30,-0.08438314412414526,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-30,-0.597279233140336,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-31,-0.5683221458676827,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-31,-0.5250765983686654,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-30,-0.3751070471432958,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-30,-0.38156619860341123,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-31,-0.5576715213930914,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,0.5286662538522257,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-30,-0.6103219697437336,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-30,-0.25717645753477875,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-31,0.3268096041813283,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,-0.3798774816396462,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-30,-0.019999429201958515,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-30,-0.10480373321128678,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-31,-0.9456541872994317,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,-0.6860194103704242,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-30,0.3334641710570018,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-30,-0.5413891852517251,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-31,-1.2156278776652125,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,-1.1879153097154738,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-30,-1.1257906125095454,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-30,0.9353910105104019,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-31,0.836534964776509,1.8867904406360894,1.1545210130327477,0.67638489099239,0.3782015049163412,0.26006377072024606,0.3288759718274675
2009-03-31,1.453644246411771,0.6749530580576647,0.42962145081100744,0.44145595535640064,-0.0408507218675214,0.11470930992880758,0.6712094612255849
