Date,ConvenienceYield_Baseline_APR,ConvenienceYield_USExcludingMatchedPrivilege_APR,ConvenienceYield_Counterfactual_APR,LongRate_Baseline_APR,LongRate_USExcludingMatchedPrivilege_APR,LongRate_Counterfactual_APR,PolicyRate_Baseline_APR,PolicyRate_USExcludingMatchedPrivilege_APR,PolicyRate_Counterfactual_APR,CorePCEInflation_Baseline_YY,CorePCEInflation_USExcludingMatchedPrivilege_YY,CorePCEInflation_Counterfactual_YY,OutputGap_Baseline,OutputGap_USExcludingMatchedPrivilege,OutputGap_Counterfactual,Forward5YearRealNaturalRate_Baseline_APR,Forward5YearRealNaturalRate_USExcludingMatchedPrivilege_APR,Forward5YearRealNaturalRate_Counterfactual_APR
2012-12-31,-0.5755486153610855,0.10422171509519462,-1.8250733833422514,1.8137,3.3988196717755876,-1.663681065808712,0.16,2.6160369593741857,-4.11943008429769,1.7719071359999998,2.1224658806387513,0.7193204868503986,-6.377965570547708,-4.504476046533841,-8.532898469356802,-0.6634850142964548,0.5091473597871081,-3.2456182119585244
2013-03-31,-0.38650802338633367,0.10306303641839892,-1.762748040014946,1.919,3.5277658186932013,-1.761519249752769,0.14,2.4346626613312834,-4.537509461382201,1.533012786,1.9313434847770077,0.4730398588218963,-5.963833911598371,-4.249626707043421,-8.44988400623577,-0.4844888163716674,0.7253683138518543,-3.221274377148998
2013-06-30,-0.6171422412844901,0.10191724212064046,-2.0387694892443404,2.639,4.37948589667143,-0.7459250750169533,0.12,2.535209877407815,-4.735177342161725,1.401379327,1.8453878567826962,0.35786422353929076,-5.973373464065884,-4.196635863279336,-8.631699474584028,-0.7460855514309195,0.5582693115694501,-3.2118954117941163
2013-09-30,-0.7299273110713532,0.10078418303078984,-1.9322350457040982,2.78,4.487151533283307,-0.6746301996069026,0.09,2.6643472424538324,-4.666980014134379,1.50544034,1.9696968922468474,0.45430476943962284,-5.867946799503678,-3.990248558368472,-8.472615127301566,-0.6208151005223268,0.631715841086741,-3.1793699352759215
2013-12-31,-0.49013301056053366,0.09966371302383675,-1.7945957634154748,3.2097,4.883444632383269,-0.29655457650014316,0.09,2.549948011271773,-4.6902354340621155,1.493579785,1.969068153813219,0.4380717798452893,-5.532097575465926,-3.7687256711903463,-8.173533629326158,-0.4734345685902692,0.7705064223055651,-3.0762801604764127
2014-03-31,-0.4485025116365927,0.09855568868664566,-1.539300338092445,2.86,4.465342278997431,-0.7907556718894955,0.07,2.3935556265241344,-4.616972298371109,1.419514577,1.8987795246378485,0.3616132791817575,-5.989735425356584,-4.356319585780388,-8.563456947211332,-0.5739882027635126,0.626072563668046,-3.319620017277365
2014-06-30,-0.6041413655369502,0.0974599690520902,-1.9230208663171298,2.6346,4.200064752353412,-1.2859512812259464,0.09,2.428886068241563,-4.8752113894341775,1.5737061410000002,2.045228501256846,0.4795946770849275,-5.87906130077693,-4.250999710127183,-8.671035489836717,-0.4870188429006097,0.6715211236855199,-3.4212445521515447
2014-09-30,-0.6969455377407408,0.09637641538688957,-1.450418848495848,2.6152,4.144444789140037,-1.5351324785145857,0.09,2.523287262918601,-4.580987613773859,1.556120479,2.0176690252384892,0.4055155919290929,-6.170902943147468,-4.479050214031384,-8.70548927966569,-0.45294214168462243,0.6545995670354341,-3.6567113878881625
2014-12-31,-0.7487196452485296,0.09530489102163164,-1.7445928692243093,2.2432,3.7149867003773576,-2.0797466941027327,0.1,2.5884153701873807,-4.71020415177871,1.396764342,1.8443957178044927,0.18052713033311701,-6.547617724223808,-4.81749906425699,-9.162016749822085,-0.4342932734920377,0.6190318482073855,-3.752472986984465
2015-03-31,-0.7956898620221476,0.09424526121394072,-1.4970151511104888,2.02,3.4488834655864014,-2.577916632198981,0.11,2.6482441516549433,-4.614914830903991,1.248207894,1.6807821785985344,-0.045142500167969835,-6.224926878420406,-4.456346925455425,-8.726078155196173,-0.3126835103605292,0.6969883826854737,-3.8950997025552447
